date,value
2020-08-30,17169.0
2020-08-31,17932.0
2020-09-01,26647.0
2020-09-02,25467.0
2020-09-03,24574.0
2020-09-04,23723.0
2020-09-05,20485.0
2020-09-06,16627.0
2020-09-07,23273.0
2020-09-08,20711.0
2020-09-09,25249.0
2020-09-10,24322.0
2020-09-11,24214.0
2020-09-12,20335.0
2020-09-13,15940.0
2020-09-14,18661.0
2020-09-15,26597.0
2020-09-16,23887.0
2020-09-17,22930.0
2020-09-18,23795.0
2020-09-19,21239.0
2020-09-20,16055.0
2020-09-21,18031.0
2020-09-22,25063.0
2020-09-23,26570.0
2020-09-24,22990.0
2020-09-25,24511.0
2020-09-26,21977.0
2020-09-27,15690.0
2020-09-28,16845.0
2020-09-29,24456.0
2020-09-30,26367.0
2020-10-01,36002.0
2020-10-02,23408.0
2020-10-03,19375.0
2020-10-04,16380.0
2020-10-05,17604.0
2020-10-06,24118.0
2020-10-07,24221.0
2020-10-08,26038.0
2020-10-09,25336.0
2020-10-10,19963.0
2020-10-11,17092.0
2020-10-12,17110.0
2020-10-13,21995.0
2020-10-14,25460.0
2020-10-15,25579.0
2020-10-16,25743.0
2020-10-17,23440.0
2020-10-18,16328.0
2020-10-19,20178.0
2020-10-20,27627.0
2020-10-21,28705.0
2020-10-22,25028.0
2020-10-23,29733.0
2020-10-24,24666.0
2020-10-25,18203.0
2020-10-26,24773.0
2020-10-27,31438.0
2020-10-28,30310.0
2020-10-29,30661.0
2020-10-30,33167.0
2020-10-31,28315.0
2020-11-01,22701.0
2020-11-02,27756.0
2020-11-03,41621.0
2020-11-04,43320.0
2020-11-05,37572.0
2020-11-06,39878.0
2020-11-07,33392.0
2020-11-08,27295.0
2020-11-09,32933.0
2020-11-10,42780.0
2020-11-11,45318.0
2020-11-12,41839.0
2020-11-13,43211.0
2020-11-14,39316.0
2020-11-15,29880.0
2020-11-16,35135.0
2020-11-17,48146.0
2020-11-18,49697.0
2020-11-19,47918.0
2020-11-20,51365.0
