DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,IT,2020,1271,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,IT,2021,1180,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,DE,2019,1275,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,DE,2020,1632,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,DE,2021,1640,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,ES,2019,858,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,ES,2020,1062,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,ES,2021,1041,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,FR,2019,839,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,FR,2020,696,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,FR,2021,810,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,IT,2019,1470,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,IT,2020,1412,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,IT,2021,1324,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,DE,2019,2151,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,DE,2020,3144,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,DE,2021,3357,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,ES,2019,2571,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,ES,2020,2624,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,ES,2021,2750,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,FR,2019,3194,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,FR,2020,3182,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,FR,2021,2969,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,IT,2019,2658,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,IT,2020,2797,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_LT18,T,IT,2021,2851,
